Compound;Time;Labeling;Treatment;N;mean;sd;se
324;Methionine;15min;U;P;5;6830230;2499972.79757371;1118021.82345503
325;Methionine;30min;L;C;5;2458893;525946.223636504;235210.301712106
326;Methionine;30min;L;Fe;5;1935998.4;356129.873236296;159266.121074948
327;Methionine;30min;L;P;5;4977882.6;888859.69042971;397510.13805205
328;Methionine;30min;U;C;5;3365719;580042.639603331;259402.954400292
329;Methionine;30min;U;Fe;5;2476664.4;1071439.91145108;479162.495162194
330;Methionine;30min;U;P;5;5925483.6;1403441.72837396;627638.221420796
331;Methionine;60min;L;C;5;2316404.2;498568.549369793;222966.633566864
332;Methionine;60min;L;Fe;5;2161767.6;291239.181775564;130246.121632316
333;Methionine;60min;L;P;5;6247195.2;2134198.53510181;954442.600393622
334;Methionine;60min;U;C;5;2391923.6;476707.749252411;213190.186545863
335;Methionine;60min;U;Fe;5;2889891.2;379270.100066167;169614.745116219
336;Methionine;60min;U;P;5;4579218.8;565842.449789869;253052.436457032
337;Norvaline;120min;L;C;5;3009166.4;57818.0556599753;25857.0205565142
338;Norvaline;120min;L;Fe;5;2947012.6;126550.603808516;56595.1505418971
339;Norvaline;120min;L;P;5;3166011.4;1086563.79593483;485926.101920096
340;Norvaline;120min;U;C;5;3464205;373964.633460839;167242.068319846
341;Norvaline;120min;U;Fe;5;3130231.6;286722.255434244;128226.090762606
342;Norvaline;120min;U;P;5;3861198;782782.265383868;350070.871395922
343;Norvaline;15min;L;C;5;3407335.6;263381.741737729;117787.895711571
344;Norvaline;15min;L;Fe;4;3053444.75;152541.697766818;76270.8488834091
345;Norvaline;15min;L;P;5;3900176.2;272701.182434547;121955.676293644
346;Norvaline;15min;U;C;5;3523679.6;446893.79532983;199856.981016076
347;Norvaline;15min;U;Fe;5;2813205.8;858716.305189147;384029.606358077
348;Norvaline;15min;U;P;5;3976622;644780.880315553;288354.775795547
349;Norvaline;30min;L;C;5;3152451.2;124088.20006028;55493.9301080758
350;Norvaline;30min;L;Fe;5;3132545.8;104289.760500252;46639.7987671474
351;Norvaline;30min;L;P;5;3479902.2;348437.99071169;155826.206634956
352;Norvaline;30min;U;C;5;3296757.4;94663.1541588384;42334.6495327409
353;Norvaline;30min;U;Fe;5;2969011.8;599244.391075711;267990.238716152
354;Norvaline;30min;U;P;5;3699863.2;601234.567824988;268880.272815876
355;Norvaline;60min;L;C;5;3059823;183500.232745084;82063.7988610081
356;Norvaline;60min;L;Fe;5;2972797.8;99582.5135011162;44534.6539117573
357;Norvaline;60min;L;P;5;3597154.6;624390.487108268;279235.914735659
358;Norvaline;60min;U;C;5;3146712.2;263634.380957226;117900.879405287
359;Norvaline;60min;U;Fe;5;3219936.8;136758.740076092;61160.3678654731
360;Norvaline;60min;U;P;5;3303473;105597.020417245;47224.4231748785
361;Phenylalanine;120min;L;C;5;14059346;3285009.70951077;1469101.00344258
362;Phenylalanine;120min;L;Fe;5;6943452.4;1162004.52488138;519664.221559422
363;Phenylalanine;120min;L;P;5;25878700.2;10996742.9940469;4917892.9731567
364;Phenylalanine;120min;U;C;5;15578542.6;4265614.72874236;1907640.89985845
365;Phenylalanine;120min;U;Fe;5;6322832.6;580900.935191879;259786.795856448
366;Phenylalanine;120min;U;P;5;24153134;4602916.40671759;2058486.79603392
367;Phenylalanine;15min;L;C;5;16711028;2892788.41514895;1293694.30815939
