metabolite	derivative	isotopologue	sample	area
Malate	2NPH	1	023_O6.cdf	5400610.93180284
Malate	2NPH	2	023_O6.cdf	774366.725185685
Malate	2NPH	3	023_O6.cdf	86879.3450371371
Malate	2NPH	4	023_O6.cdf	0
Isocitrate	2NPH	0	023_O6.cdf	109139.912221472
Isocitrate	2NPH	1	023_O6.cdf	23101.9986495611
Isocitrate	2NPH	2	023_O6.cdf	5180.31060094531
Isocitrate	2NPH	3	023_O6.cdf	1012.3295070898
Isocitrate	2NPH	4	023_O6.cdf	211.147873058744
Isocitrate	2NPH	5	023_O6.cdf	313.281566509115
Isocitrate	2NPH	6	023_O6.cdf	614.287643484132
Citrate	2NPH	0	023_O6.cdf	5023726.43484132
Citrate	2NPH	1	023_O6.cdf	976852.302498312
Citrate	2NPH	2	023_O6.cdf	320443.065496286
Citrate	2NPH	3	023_O6.cdf	47790.5604321404
Citrate	2NPH	4	023_O6.cdf	3103.72045914922
Citrate	2NPH	5	023_O6.cdf	0
Citrate	2NPH	6	023_O6.cdf	0
Oxaloacetate	2NPH	0	023_O6.cdf	7718.73058744092
Oxaloacetate	2NPH	1	023_O6.cdf	615.820391627279
Oxaloacetate	2NPH	2	023_O6.cdf	0
Oxaloacetate	2NPH	3	023_O6.cdf	0
Oxaloacetate	2NPH	4	023_O6.cdf	0
Oxoglutarate	3NPH	0	023_O6.cdf	23475611.3774477
Oxoglutarate	3NPH	1	023_O6.cdf	6954986.4618501
Oxoglutarate	3NPH	2	023_O6.cdf	1279706.72518569
Oxoglutarate	3NPH	3	023_O6.cdf	178180.614449696
Oxoglutarate	3NPH	4	023_O6.cdf	10943.6394328157
Oxoglutarate	3NPH	5	023_O6.cdf	0
Aconitate	3NPH	0	023_O6.cdf	4940.74949358541
Aconitate	3NPH	1	023_O6.cdf	1240.31735313977
Aconitate	3NPH	2	023_O6.cdf	747.717758271438
Aconitate	3NPH	3	023_O6.cdf	143.646185010128
Aconitate	3NPH	4	023_O6.cdf	0
Aconitate	3NPH	5	023_O6.cdf	45.3814989871708
Aconitate	3NPH	6	023_O6.cdf	0
Glycerate	NPH	0	023_O6.cdf	300800.965563808
Glycerate	NPH	1	023_O6.cdf	29022.7751519244
Glycerate	NPH	2	023_O6.cdf	4371.16812964213
Glycerate	NPH	3	023_O6.cdf	412.849426063471
Glycolate	NPH	0	023_O6.cdf	36293.5043889264
Glycolate	NPH	1	023_O6.cdf	3456.10398379473
Glycolate	NPH	2	023_O6.cdf	0
Hydroxyglutarate	2NPH	0	023_O6.cdf	78623.4571235652
Hydroxyglutarate	2NPH	1	023_O6.cdf	15605.9756920999
Hydroxyglutarate	2NPH	2	023_O6.cdf	1417.27211343687
Hydroxyglutarate	2NPH	3	023_O6.cdf	0
Hydroxyglutarate	2NPH	4	023_O6.cdf	0
Hydroxyglutarate	2NPH	5	023_O6.cdf	0
Oxalate	2NPH	0	023_O6.cdf	10345496.772451
Oxalate	2NPH	1	023_O6.cdf	1827911.17488184
Oxalate	2NPH	2	023_O6.cdf	230292.518568535
Itaconate	2NPH	0	023_O6.cdf	3150.89804186361
Itaconate	2NPH	1	023_O6.cdf	410.222822417286
Itaconate	2NPH	2	023_O6.cdf	0
Itaconate	2NPH	3	023_O6.cdf	291.715057393653
Itaconate	2NPH	4	023_O6.cdf	65609.2370020257
Itaconate	2NPH	5	023_O6.cdf	12441.1141120864
Lactate	NPH	0	024_O7.cdf	0
Lactate	NPH	1	024_O7.cdf	0
Lactate	NPH	2	024_O7.cdf	0
Lactate	NPH	3	024_O7.cdf	0
Pyruvate	2NPH	0	024_O7.cdf	200140.228013029
Pyruvate	2NPH	1	024_O7.cdf	31926.5081433225
Pyruvate	2NPH	2	024_O7.cdf	3757.55048859935
Pyruvate	2NPH	3	024_O7.cdf	488.201954397394
Fumarate	2NPH	0	024_O7.cdf	341468.475570033
Fumarate	2NPH	1	024_O7.cdf	57647.4657980456
Fumarate	2NPH	2	024_O7.cdf	9988.97719869707
Fumarate	2NPH	3	024_O7.cdf	1183.1986970684
Fumarate	2NPH	4	024_O7.cdf	0
Succinate	2NPH	0	024_O7.cdf	1084814.66449511
Succinate	2NPH	1	024_O7.cdf	185361.941368078
Succinate	2NPH	2	024_O7.cdf	27534.983713355
Succinate	2NPH	3	024_O7.cdf	3523.73941368078
Succinate	2NPH	4	024_O7.cdf	0
Malate	2NPH	0	024_O7.cdf	17380444.9967427
Malate	2NPH	1	024_O7.cdf	4569740.69055375
Malate	2NPH	2	024_O7.cdf	657278.67752443
Malate	2NPH	3	024_O7.cdf	73305.8045602606
Malate	2NPH	4	024_O7.cdf	0
Isocitrate	2NPH	0	024_O7.cdf	74801.8501628664
Isocitrate	2NPH	1	024_O7.cdf	15569.3941368078
Isocitrate	2NPH	2	024_O7.cdf	3846.2996742671
Isocitrate	2NPH	3	024_O7.cdf	432
